"id","city","region","href","name","style","area","orientation","decoration","elevator","floor","build_year","sign_time","unit_price","total_price","fangchan_class","school","subway"
1,"nj","高淳","https://nj.lianjia.com/chengjiao/103102278196.html","南京碧桂园语林苑","3室2厅","92.79平米","南","其他","无","中楼层(共8层)","2018年建塔楼","2018.04.11","18106","168","None","None","None"
2,"nj","高淳","https://nj.lianjia.com/chengjiao/103102343989.html","龙湖文馨苑","1室1厅","51.26平米","南 北","其他","无电梯","高楼层(共6层)","2007年建板塔结合","近30天内成交","下载APP查看成交>","1**","房屋满两年","None","None"
3,"nj","高淳","https://nj.lianjia.com/chengjiao/103102371204.html","双拜巷教师公寓","2室1厅","61.42平米","南 北","简装","有电梯","中楼层(共7层)","2000年建板楼","近30天内成交","下载APP查看成交>","1**","房屋满两年","None","None"
4,"nj","高淳","https://nj.lianjia.com/chengjiao/103102233373.html","万达紫金明珠","2室2厅","84.69平米","南 北","精装","有电梯","低楼层(共9层)","2005年建板楼","近30天内成交","下载APP查看成交>","2**","房屋满两年","None","None"
5,"nj","高淳","https://nj.lianjia.com/chengjiao/103101753685.html","裕华名居","2室2厅","87.08平米","南 西 北","其他","有电梯","高楼层(共19层)","2000年建板楼","2017.10.27","41055","357.5","房屋满五年","None","None"
6,"nj","高淳","https://nj.lianjia.com/chengjiao/103101806542.html","东方城拂晓园","4室2厅","137.28平米","南 北","其他","有电梯","高楼层(共11层)","2000年建板楼","2018.04.13","28045","385","房屋满五年","None","None"
7,"nj","高淳","https://nj.lianjia.com/chengjiao/103102244435.html","东方城初阳园","3室2厅","109.6平米","南 北","其他","无电梯","低楼层(共5层)","2002年建板楼","2018.04.13","32665","358","房屋满五年","None","距4号线王家湾594米"
8,"nj","高淳","https://nj.lianjia.com/chengjiao/103101331073.html","雅居乐花园","3室2厅","77.25平米","北","精装","有电梯","中楼层(共11层)","2009年建板塔结合","2018.05.05","34305","265","房屋满两年","None","距3号线武定门914米"
9,"nj","高淳","https://nj.lianjia.com/chengjiao/103101965213.html","都市山庄","3室1厅","85.44平米","南","其他","无电梯","低楼层(共7层)","2000年建板楼","2018.05.09","31602","270","None","None","距2号线孝陵卫381米"
10,"nj","高淳","https://nj.lianjia.com/chengjiao/103102065896.html","龙湖文馨苑","3室2厅","112.56平米","南 北","其他","有电梯","低楼层(共11层)","2007年建板楼","近30天内成交","下载APP查看成交>","2**","房屋满五年","None","None"
11,"nj","高淳","https://nj.lianjia.com/chengjiao/103102029699.html","龙湖文馨苑","3室2厅","110.64平米","南 北","简装","有电梯","高楼层(共11层)","2007年建板楼","2018.01.14","25561","282.8","房屋满五年","None","None"
12,"nj","高淳","https://nj.lianjia.com/chengjiao/103101464366.html","龙湖文馨苑","1室1厅","60.18平米","南","其他","有电梯","中楼层(共9层)","2007年建板塔结合","2018.01.08","28847","173.6","房屋满五年","None","None"
13,"nj","高淳","https://nj.lianjia.com/chengjiao/103102337761.html","双乐园小区","2室1厅","49.57平米","南 北","精装","无电梯","高楼层(共7层)","1997年建板楼","2018.04.27","28243","140","房屋满两年","None","距1号线三山街1026米"
14,"nj","高淳","https://nj.lianjia.com/chengjiao/103101908557.html","双乐园小区","2室1厅","49.57平米","南 北","简装","有电梯","高楼层(共7层)","1997年建板楼","2018.03.25","24007","119","房屋满五年","None","距1号线三山街996米"
